id_player,id_team,kit_name,age,position,country
101,1,Ramsdale,24,Goalkeeper,England
102,1,Saliba,21,Defender,France
103,1,Magalhaes,25,Defender,Brazil
104,1,White,25,Defender,England
105,1,Zinchenko,26,Defender,Ukraine
106,1,Partey,29,Midfielder,Ghana
107,1,Xhaka,30,Midfielder,Switzerland
108,1,Odegaard,24,Midfielder,Norway
109,1,Martinelli,21,Midfielder,Brazil
110,1,Jesus,25,Forward,Brazil
111,1,Nketiah,23,Forward,England
201,2,Martinez,30,Goalkeeper,Argentina
202,2,Konsa,25,Defender,England
203,2,Mings,29,Defender,England
204,2,Moreno,29,Defender,Spain
205,2,Cash,25,Defender,Poland
206,2,Camara,23,Midfielder,France
207,2,Coutinho,30,Midfielder,Brazil
208,2,McGinn,28,Midfielder,Scotland
209,2,Luiz,24,Midfielder,Brazil
210,2,Buendia,26,Forward,Argentina
211,2,Watkins,27,Forward,England
301,3,Neto,33,Goalkeeper,Brazil
302,3,Senesi,25,Defender,Argentina
303,3,Stephens,29,Defender,England
304,3,Smith,31,Defender,England
305,3,Zemura,23,Defender,Zimbabwe
306,3,Billing,26,Midfielder,Switzerland
307,3,Lerma,28,Midfielder,Colombia
308,3,Traore,23,Midfielder,Pantai Gading
309,3,Tavernier,23,Midfielder,England
310,3,Ouattara,21,Forward,Burkina Faso
311,3,Solanke,25,Forward,England
401,4,Raya,27,Goalkeeper,Spain
402,4,Mee,33,Defender,England
403,4,Pinnock,29,Defender,Jamaica
404,4,Hickey,20,Defender,Scotland
405,4,Henry,25,Defender,England
406,4,Norgaard,28,Midfielder,Switzerland
407,4,Jensen,27,Midfielder,Switzerland
408,4,Dasilva,24,Midfielder,England
409,4,Mbeumo,23,Midfielder,Cameroon
410,4,Toney,26,Forward,England
411,4,Wissa,26,Forward,DR Congo
501,5,Sanchez,25,Goalkeeper,Spain
502,5,Webtster,28,Defender,England
503,5,Dunk,31,Defender,England
504,5,Estupinan,25,Defender,Ecuador
505,5,Veltman,31,Defender,Netherlands
506,5,Grob,31,Midfielder,Germany
507,5,Caicedo,21,Midfielder,Ecuador
508,5,Mac Allister,24,Midfielder,Argentina
509,5,March,28,Midfielder,England
510,5,Mitoma,25,Forward,Japan
511,5,Ferguson,18,Forward,Ireland
601,6,Arrizabalaga,28,Goalkeeper,Spain
602,6,Koulibaly,31,Defender,Senegal
603,6,Badiashile,21,Defender,France
604,6,Chilwell,26,Defender,England
605,6,Azpilicueta,33,Defender,Spain
606,6,Fernandez,22,Midfielder,Argentina
607,6,Kovacic,28,Midfielder,Kroasia
608,6,Joao Felix,23,Midfielder,Portugal
609,6,Madueke,20,Midfielder,England
610,6,Mount,24,Forward,England
611,6,Fofana,20,Forward,Pantai Gading
701,7,Guaita,36,Goalkeeper,Spain
702,7,Andersen,26,Defender,Switzerland
703,7,Guehi,22,Defender,England
704,7,Mitchell,23,Defender,England
705,7,Clyne,31,Defender,England
706,7,Doucoure,23,Midfielder,Mali
707,7,Lokonga,23,Midfielder,Belgium
708,7,Olise,21,Midfielder,France
709,7,Schlupp,30,Midfielder,Ghana
710,7,Ayew,31,Forward,Ghana
711,7,Mateta,25,Forward,France
801,8,Pickford,28,Goalkeeper,England
802,8,Coady,29,Defender,England
803,8,Tarkowski,30,Defender,England
804,8,Mykolenko,23,Defender,Ukraine
805,8,Coleman,34,Defender,Ireland
806,8,Doucoure,30,Midfielder,Mali
807,8,Onana,21,Midfielder,Belgium
808,8,Gueye,33,Midfielder,Senegal
809,8,McNeil,23,Midfielder,England
810,8,Iwobi,26,Forward,Nigeria
811,8,Maupay,26,Forward,France
901,9,Leno,30,Goalkeeper,Germany
902,9,Diop,26,Defender,France
903,9,Ream,35,Defender,US
904,9,Robinson,25,Defender,US
905,9,Tete,27,Defender,Netherlands
906,9,Palinha,27,Midfielder,Portugal
907,9,Reed,28,Midfielder,England
908,9,Pereira,27,Midfielder,Brazil
909,9,Wilson,25,Midfielder,Wales
910,9,Willian,34,Forward,Brazil
911,9,De Cordova,30,Forward,Jamaica
1001,10,Meslier,22,Goalkeeper,France
1002,10,Wober,25,Defender,Denmark
1003,10,Koch,26,Defender,Germany
1004,10,Ayling,31,Defender,England
1005,10,Firpo,26,Defender,England
1006,10,McKennie,24,Midfielder,US
1007,10,Adams,24,Midfielder,US
1008,10,Harrison,26,Midfielder,England
1009,10,Summerville,21,Midfielder,Netherlands
1010,10,Gnonto,19,Forward,Italy
1011,10,Bamford,29,Forward,England
1101,11,Ward,29,Goalkeeper,Wales
1102,11,Faes,24,Defender,Belgium
1103,11,Souttar,24,Defender,Australia
1104,11,Castagne,27,Defender,Belgium
1105,11,Kristiansen,20,Defender,Denmark
1106,11,Mendy,30,Midfielder,Senegal
1107,11,Maddison,26,Midfielder,England
1108,11,Dewsbury,24,Midfielder,England
1109,11,Barnes,25,Midfielder,England
1110,11,Tete,23,Forward,Brazil
1111,11,Iheanacho,26,Forward,Nigeria
1301,13,Ederson,29,Goalkeeper,Brazil
1302,13,Laporte,28,Defender,Spain
1303,13,Dias,25,Defender,Portugal
1304,13,Walker,32,Defender,England
1305,13,Rodri,26,Defender,Spain
1306,13,Silva,28,Midfielder,Portugal
1307,13,Grealish,27,Midfielder,England
1308,13,Foden,22,Midfielder,England
1309,13,De Bruyne,31,Midfielder,Belgium
1310,13,Gundogan,32,Forward,Germany
1311,13,Haaland,22,Forward,Norway
1401,14,De Gead,32,Goalkeeper,Spain
1402,14,Martinez,25,Defender,Argentina
1403,14,Varane,29,Defender,France
1404,14,Shaw,27,Defender,England
1405,14,Dalot,23,Defender,Portugal
1406,14,Sabitzer,28,Midfielder,Austria
1407,14,Casemiro,30,Midfielder,Brazil
1408,14,Fernandes,28,Midfielder,Portugal
1409,14,Garnacho,18,Midfielder,Argentina
1410,14,Weghorst,30,Forward,Netherlands
1411,14,Rashford,25,Forward,England
1501,15,Pope,30,Goalkeeper,England
1502,15,Botman,23,Defender,Netherlands
1503,15,Schar,31,Defender,Switzerland
1504,15,Burn,30,Defender,England
1505,15,Trippier,32,Defender,England
1506,15,Joelinton,26,Midfielder,Brazil
1507,15,Longstaff,22,Midfielder,England
1508,15,Anderson,20,Midfielder,Scotland
1509,15,Almiron,29,Midfielder,Paraguay
1510,15,Saint-Maxima,25,Forward,France
1511,15,Isak,23,Forward,Swedia
1601,16,Navas,36,Goalkeeper,Costa Rica
1602,16,Felipe,33,Defender,Brazil
1603,16,Worrall,26,Defender,England
1604,16,Aurier,30,Defender,Pantai Gading
1605,16,Lodi,24,Defender,Brazil
1606,16,Shelvey,30,Midfielder,England
1607,16,Freuler,30,Midfielder,Switzerland
1608,16,Colback,33,Midfielder,England
1609,16,Danilo,21,Midfielder,Brazil
1610,16,Gibbs-White,23,Forward,England
1611,16,Johnson,21,Forward,Wales
1701,17,Bazunu,21,Goalkeeper,Ireland
1702,17,Bella-Kotchap,21,Defender,Germany
1703,17,Bednarek,26,Defender,Poland
1704,17,Maitland-Niles,25,Defender,England
1705,17,Perraud,25,Defender,France
1706,17,Ward-Prowse,28,Midfielder,England
1707,17,Lavia,19,Midfielder,Belgium
1708,17,Armstrong,26,Midfielder,England
1709,17,Elyounoussi,28,Midfielder,Denmark
1710,17,Onuachu,28,Forward,Nigeria
1711,17,Sulemana,21,Forward,Ghana
1801,18,Forster,34,Goalkeeper,England
1802,18,Lenglet,27,Defender,France
1803,18,Romero,24,Defender,Argentina
1804,18,Dier,29,Defender,England
1805,18,Hojbjerg,27,Defender,Denmark
1806,18,Skipp,22,Midfielder,England
1807,18,Emerson,24,Midfielder,Brazil
1808,18,Son,30,Midfielder,South Korea
1809,18,Kulusevski,22,Midfielder,Swedia
1810,18,Richalison,25,Forward,Brazil
1811,18,Kane,29,Forward,England
1901,19,Fabianski,37,Goalkeeper,Poland
1902,19,Aguerd,26,Defender,Morocco
1903,19,Ogbonna,34,Defender,Italy
1904,19,Kehrer,26,Defender,Germany
1905,19,Soucek,27,Defender,Czech Republic
1906,19,Rice,24,Midfielder,England
1907,19,Emerson,28,Midfielder,Italy
1908,19,Coufal,30,Midfielder,Czech Republic
1909,19,Downes,24,Midfielder,England
1910,19,Bowen,26,Forward,England
1911,19,Antonio,32,Forward,Jamaica
2001,20,Sa,30,Goalkeeper,Portugal
2002,20,Kilman,25,Defender,England
2003,20,Dawson,32,Defender,England
2004,20,Semedo,29,Defender,Portugal
2005,20,Bueno,20,Defender,Spain
2006,20,Matheus Nunes,24,Midfielder,Portugal
2007,20,Neves,25,Midfielder,Portugal
2008,20,Moutinho,36,Midfielder,Portugal
2009,20,Traore,27,Midfielder,Spain
2010,20,Sarabia,30,Forward,Spain
2011,20,Cunha,23,Forward,Brazil
1201,12,Alisson,30,Goalkeeper,Brazil
1202,12,Gomez,25,Defender,England
1203,12,Van Dijk,31,Defender,Netherlands
1204,12,A. Arnold,24,Defender,England
1205,12,Robertson,28,Defender,Scotland
1206,12,Fabinho,29,Midfielder,Brazil
1207,12,Henderson,32,Midfielder,England
1208,12,Bajcetic,18,Midfielder,Spain
1209,12,Nunez,23,Midfielder,Uruguay
1210,12,Mohamed Salah,30,Forward,Egypt
1211,12,Gakpo,23,Forward,Netherlands
